"Issue","Issue description","Priority","Status","Assigned to","Associated files","Related issue","Project"
"Product pages — Default the purchase option to 'Subscribe & Save' (not One-time purchase)","SEVERITY&#58; Medium — commercial priority<p><br></p><p>SUMMARY&#58; On every product page, the purchase selector currently defaults to 'One-time purchase'. Business goal is to grow subscription LTV, so the default option should be 'Subscribe &amp; Save' with the discount visibly applied in the price.</p><p><br></p><p>CURRENT BEHAVIOUR&#58; PDP loads with 'One-time purchase' radio pre-selected. User has to actively switch to Subscribe &amp; Save to see the subscription price.</p><p><br></p><p>EXPECTED BEHAVIOUR&#58;</p><p>- PDP loads with 'Subscribe &amp; Save' pre-selected by default.</p><p>- Displayed price reflects the subscriber price (with original price shown as strikethrough).</p><p>- Subscription frequency defaults to the most common interval (confirm with Monique&#58; likely 'Every 30 days').</p><p>- 'One-time purchase' remains available as the second option for customers who don't want to subscribe.</p><p>- Add to cart, from default state, adds the subscription line item.</p><p><br></p><p>ACCEPTANCE CRITERIA&#58;</p><p>- Open any product page fresh — Subscribe &amp; Save is the selected option.</p><p>- Subscription frequency is pre-filled.</p><p>- Subscriber price (discounted) is the price shown above the Add to Cart button.</p><p>- Switching to One-time purchase updates the price to full RRP.</p><p>- Works across all product types (gummies, capsules, powders).</p><p><br></p><p>AFFECTED&#58; All product detail pages across thehealios.com.</p><p><br></p><p>NOTE&#58; Confirm with Healios commercial team that the default subscription frequency should be 30 days before shipping.</p>","High","New","Servaas Steenkamp","1",,"Healios"
"Header nav — Search and Wishlist panels must be mutually exclusive (close one when opening the other)","SEVERITY&#58; Medium<p><br></p><p>SUMMARY&#58; When the Search panel is opened, the Wishlist panel (if open) should close, and vice versa. Currently both can be open simultaneously, which creates overlapping UI and broken focus states.</p><p><br></p><p>CURRENT BEHAVIOUR&#58; Opening Search does not close an already-open Wishlist drawer, and opening Wishlist does not close an already-open Search drawer.</p><p><br></p><p>EXPECTED BEHAVIOUR&#58;</p><p>- Only one header panel can be open at any time.</p><p>- Opening Search closes Wishlist (and any other header panel).</p><p>- Opening Wishlist closes Search (and any other header panel).</p><p>- Escape key and overlay click close whichever panel is open.</p><p><br></p><p>ACCEPTANCE CRITERIA&#58;</p><p>- Open Search, then click Wishlist — Search closes before Wishlist opens.</p><p>- Open Wishlist, then click Search — Wishlist closes before Search opens.</p><p>- Only one panel visible at a time on desktop and mobile.</p><p>- Focus is moved into the newly opened panel for accessibility.</p><p><br></p><p>AFFECTED&#58; Global header (all pages).</p>","High","New","Servaas Steenkamp","1",,"Healios"
"Product listings — Remove redundant 'Healios' prefix from product names","SEVERITY&#58; Medium — cosmetic but hurts readability, hierarchy and SEO snippets.<p><br></p><p>SUMMARY&#58; Every product card and product page title on the site starts with &quot;Healios&quot; (e.g. &quot;Healios Magnesium Gummies&quot;, &quot;Healios Vitamin D3&quot;). Because the shopper is already on thehealios.com, the brand prefix is redundant, lengthens titles, truncates card names, and weakens the actual product keyword in meta titles.</p><p><br></p><p>CURRENT BEHAVIOUR&#58;</p><p>- Product card titles&#58; &quot;Healios [Product name]&quot;.</p><p>- PDP H1 / title tag&#58; &quot;Healios [Product name] | Healios&quot;.</p><p>- Breadcrumbs and wishlist also repeat &quot;Healios&quot;.</p><p><br></p><p>EXPECTED BEHAVIOUR&#58;</p><p>1. Remove the &quot;Healios&quot; prefix from the displayed product name across cards, PDP H1, breadcrumbs and wishlist.</p><p>2. Keep the brand in the title tag suffix only once (e.g. &quot;Magnesium Gummies | Healios&quot;) for SEO.</p><p>3. Keep &quot;Healios&quot; in structured data (schema.org Product &gt; brand) — just not in the visible name.</p><p>4. Bulk-update product records in the CMS rather than styling-hide it, so feeds (Google Shopping, Instagram) inherit the clean name.</p><p><br></p><p>ACCEPTANCE CRITERIA&#58;</p><p>- No product on /category/all shows the word &quot;Healios&quot; before its product name.</p><p>- PDP H1 reads &quot;Magnesium Gummies&quot;, not &quot;Healios Magnesium Gummies&quot;.</p><p>- Title tag pattern = &quot;[Product] | Healios&quot;.</p><p>- Shopping feed + sitemap regenerate without regression.</p><p>- Old URLs continue to resolve (slugs stay the same).</p><p><br></p><p>AFFECTED&#58; Product catalogue (all SKUs), category pages, PDP, wishlist, breadcrumbs, structured data, product feed.</p>","High","New","Servaas Steenkamp","1",,"Healios"
"Shop filters — BUG: Category filter returns 0 products for valid categories","SEVERITY&#58; High — users who filter the shop see an empty state and leave.<p><br></p><p>SUMMARY&#58; On /category/all, applying a Category filter (e.g., a specific supplement category that clearly has products available in the catalogue) returns 0 products. This is a breaking bug in the shop browse experience — users who try to narrow down by category hit a dead end and bounce.</p><p><br></p><p>STEPS TO REPRODUCE&#58;</p><p>1. Navigate to <a href=""https&#58;//thehealios.com/category/all"">https&#58;//thehealios.com/category/all</a>.</p><p>2. Open the Category filter.</p><p>3. Select any category that should contain products.</p><p>4. Observe&#58; product grid shows 0 results even though products tagged with that category exist.</p><p><br></p><p>EXPECTED BEHAVIOUR&#58; Selecting a category returns all products tagged with that category. If zero genuine matches, show a clear empty state with a &quot;Clear filters&quot; action.</p><p><br></p><p>ROOT CAUSE HYPOTHESIS (please verify)&#58; likely a mismatch between the category taxonomy value stored on the product records and the filter query parameter (slug vs. display name, case sensitivity, or a whitespace/encoding issue).</p><p><br></p><p>ACCEPTANCE CRITERIA&#58;</p><p>1. Selecting a category with tagged products returns those products.</p><p>2. Filter combinations (category + price, category + benefit) work correctly.</p><p>3. Empty states are only shown when the query genuinely has no matches.</p><p>4. Add a unit/integration test covering the filter query path to prevent regression.</p><p><br></p><p><div>AFFECTED&#58; /category/all, Shop browse, all category filter optio</div></p>","High","New","Servaas Steenkamp","1",,"Healios"
"Checkout — Form validation must highlight empty/invalid required fields on submit attempt","SUMMARY&#58; When a user clicks the primary CTA on the checkout form with required fields empty or invalid, the form does not clearly highlight WHICH fields are the problem. Users see nothing happen (or only a generic error) and have to manually scan the form to figure out what they missed. This is a common drop-off point.<p><br></p><p>CURRENT BEHAVIOUR&#58; Pressing submit with missing fields either&#58; does nothing visible, scrolls silently, or shows a generic error message — without a red border, inline error copy, or focus shift on the offending field(s).</p><p><br></p><p>EXPECTED BEHAVIOUR&#58; On submit attempt with invalid form state&#58;</p><p>- All empty required fields get a red border and inline error message (e.g., &quot;This field is required&quot;).</p><p>- Invalid-format fields (bad email, wrong postal code length, invalid card) also get red border + specific error (&quot;Enter a valid email address&quot;).</p><p>- Page scrolls/focuses the first invalid field into view.</p><p>- Inline errors clear as the user corrects each field (no need to resubmit to clear).</p><p><br></p><p>ACCEPTANCE CRITERIA&#58;</p><p>1. All required fields visually indicate error state on failed submit.</p><p>2. Each error has specific inline copy (not just a generic banner).</p><p>3. First invalid field is focused and scrolled into view.</p><p>4. Errors clear on valid input without resubmit.</p><p>5. Screen reader users get aria-live announcement of errors.</p><p>6. Works on mobile viewport (errors visible, focused field is above keyboard).</p><p><br></p><p><div><div><ul><li>AFFECTED&#58; /checkout all steps (shipping, billing, paymen</li></ul></div></div></p>","High","New","Servaas Steenkamp","1",,"Healios"
"Checkout — Add Stripe (and/or accepted card network) logos for trust","SUMMARY&#58; The checkout page currently does not display Stripe branding or accepted card network logos (Visa, Mastercard, Amex, etc.). For a first-time visitor paying for supplements, this is a trust gap — users pause before entering card details when the &quot;paid by&quot; signal isn't visible.<p><br></p><p>EXPECTED BEHAVIOUR&#58; Display &quot;Powered by Stripe&quot; (or equivalent Stripe badge) plus the relevant card network logos near the payment method section of checkout. Also consider a small lock icon + &quot;Secure checkout&quot; label near the card input fields.</p><p><br></p><p>ACCEPTANCE CRITERIA&#58;</p><p>1. Stripe badge visible on checkout page (payment step specifically).</p><p>2. Visa + Mastercard logos shown at minimum; add Amex / Apple Pay / Google Pay if enabled in Stripe.</p><p>3. Logos use Stripe's official brand assets at correct sizing — do not stretch or recolour.</p><p>4. Badge placement does not push primary CTA below the fold on mobile.</p><p>5. Do not add badges that imply payment methods we do not actually support.</p><p><br></p><p>AFFECTED&#58; /checkout payment step, mobile + desktop.</p><p><br></p><p><ul><li>NOTES&#58; Check Stripe's brand guidelines for approved badge variants before shippi</li></ul></p>","High","New","Servaas Steenkamp","1",,"Healios"
"Cart — ""Shipping calculated at checkout"" text is too small (increase from ~10px to 13px)","SUMMARY&#58; The &quot;Shipping calculated at checkout&quot; helper text below the cart subtotal is rendered at approximately 10px, making it illegible and visually insignificant. This text carries important information (user should know shipping hasn't been added yet) but is currently easy to miss.<p><br></p><p>CURRENT BEHAVIOUR&#58; Text appears at ~10px, below the subtotal line. Low contrast compounds the legibility issue.</p><p><br></p><p>EXPECTED BEHAVIOUR&#58; Increase font size to 13px (matches other secondary body text). Maintain current colour treatment but verify contrast ratio meets WCAG AA.</p><p><br></p><p>ACCEPTANCE CRITERIA&#58;</p><p>1. Font size is 13px.</p><p>2. Contrast ratio &gt;= 4.5&#58;1 against background.</p><p>3. Line height preserves single-line layout on desktop and mobile.</p><p>4. Check responsive cart drawer and full cart page.</p><p><br></p><p>AFFECTED&#58; Cart drawer + /cart page.</p>","High","New","Servaas Steenkamp","1",,"Healios"
"Header — ZAR currency dropdown: fix spacing between flag and code","SUMMARY&#58; In the header currency selector, the ZAR option renders with insufficient spacing between the South African flag and the &quot;ZAR&quot; text — the flag and the letters visually collide. The other currencies (GBP, USD, EUR) have correct spacing. Only ZAR is affected.<p><br></p><p>CURRENT BEHAVIOUR&#58; Flag icon sits flush against the &quot;ZAR&quot; text with no gap (approximately 0-1px). Looks cramped and inconsistent with the other options in the same dropdown list.</p><p><br></p><p>EXPECTED BEHAVIOUR&#58; 8px gap between flag and currency code, matching GBP/USD/EUR rows. Consistent vertical alignment across all options.</p><p><br></p><p>ACCEPTANCE CRITERIA&#58;</p><p>1. ZAR option has the same flag-to-text gap as other currencies.</p><p>2. Vertical centring of flag and text is consistent.</p><p>3. Hover state and selected state both render correctly.</p><p>4. Verify on desktop and mobile dropdown views.</p><p><br></p><p>LIKELY CAUSE&#58; Either the ZAR flag SVG has a different intrinsic width/padding to the other flags, or a specific CSS rule is overriding the default gap for the ZA option.</p><p><br></p><p>AFFECTED PAGES&#58; Global header on every page (dropdown appears on hover/click of currency switcher).</p>","High","New","Servaas Steenkamp","1",,"Healios"
"Shop — CRITICAL BUG: All product cards link to Magnesium Gummies PDP (wrong product routing)","SEVERITY&#58; Critical — blocks all revenue on non-Magnesium SKUs.<p><br></p><p>SUMMARY&#58; On the Shop/All Products page (https&#58;//thehealios.com/category/all), every product card routes to the Magnesium Gummies PDP, regardless of which product image is clicked. Customers cannot reach Vitamin D Gummies, Turmeric Gummies, Ashwagandha Gummies, etc. All traffic funnels to one SKU.</p><p><br></p><p>CURRENT BEHAVIOUR&#58; Click any product card on the category listing → navigates to /product/magnesium-gummies. Card image, title, and price display correctly per product, but href/onClick is shared/incorrect.</p><p><br></p><p>EXPECTED BEHAVIOUR&#58; Each product card must navigate to its own PDP using the correct product slug. Confirm across all listings&#58; /category/all, /category/sleep, /category/focus, /category/beauty, featured collections on homepage, upsell/cross-sell modules.</p><p><br></p><p>LIKELY CAUSE&#58; Shared component state or static href. Likely a mapping bug where the slug variable is hardcoded or the first product's slug is reused across the loop.</p><p><br></p><p>ACCEPTANCE CRITERIA&#58;</p><p>1. Every card on every listing page routes to the correct PDP.</p><p>2. URL slug matches the product displayed on the card.</p><p>3. Back-button returns user to the listing with scroll position preserved.</p><p>4. Test across desktop, tablet, mobile.</p><p><br></p><p>AFFECTED&#58; All SKUs except Magnesium Gummies are currently unreachable from browse flows. Revenue impact is immediate.</p><p><br></p><p>DEV NOTES&#58; Please deploy hotfix ASAP. Add a regression test that asserts each card's href matches its product slug.</p>","Critical","New","Servaas Steenkamp","1",,"Healios"
"Cart — Simplify & reposition Add-to-Cart notifications (remove duplicate toast, anchor below cart icon)","SUMMARY&#58; When a product is added to the bag via the quick-add icon on a product card, two toast notifications fire simultaneously in the top-left of the screen&#58; &quot;[Product] added to bag&quot; and &quot;Added to cart&quot;. On repeat clicks (item already in cart), the second toast changes to &quot;Updated quantity in cart&quot;. This is redundant and exposes internal logic to the user. It also doesn't align with standard e-commerce conventions — ASOS, Amazon, Boots all anchor cart feedback near the cart icon.<p><br></p><p>CURRENT BEHAVIOUR&#58;</p><p>- Click bag icon on a product card → two toasts top-left&#58; &quot;added to bag&quot; + &quot;Added to cart&quot;</p><p>- Click again (already in cart) → &quot;added to bag&quot; + &quot;Updated quantity in cart&quot;</p><p><br></p><p>DESIRED BEHAVIOUR / ACCEPTANCE CRITERIA&#58;</p><p>1. Single notification only — remove the second toast entirely.</p><p>2. Content&#58; &quot;[Product name] added to bag&quot; — clear, human, product-specific. No internal system language like &quot;Updated quantity in cart&quot;.</p><p>3. Position&#58; Move the toast to appear beneath the cart icon in the top-right navigation bar — mirrors standard e-commerce behaviour.</p><p>4. No quantity update messaging — whether first add or fifth, the user just needs confirmation. Cart count badge already communicates quantity.</p><p><br></p><p>AFFECTED PAGES&#58; https&#58;//thehealios.com/category/all and all product listing/category pages where the quick-add bag icon is used.</p><p><br></p><p>DEV NOTES&#58;</p><p>- Consolidate the two toast triggers into a single event.</p><p>- Reposition toast anchor to drop from beneath the cart icon (top-right nav).</p><p>- Suppress &quot;Updated quantity in cart&quot; entirely.</p>","High","New","Servaas Steenkamp","1",,"Healios"
